# HEADER: Prodid    : IDQ65448                                                                                                                                                                                                                                                                                                                                                                                  
# HEADER: Prodname  : Hourly River Height Bulletin in CSV Format                                                                                                                                                                                                                                                                                                                                                
# HEADER: Generated : 03-10-2019 14:30:09                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Notes     : Data from automatic stations have not been checked and may have errors.                                                                                                                                                                                                                                                                                                                   
# HEADER:             All heights are in metres.                                                                                                                                                                                                                                                                                                                                                                
# HEADER:             This product includes data made available to the Bureau by other agencies                                                                                                                                                                                                                                                                                                                 
# HEADER:             Separate approval may be required to use the data for other purposes.                                                                                                                                                                                                                                                                                                                     
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Format    : stn_num,sensor_num,name,obs_time,hgt,datum,class,tendency,xinghgt,xingname,xingtype,long,lat                                                                                                                                                                                                                                                                                              
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
     39320,         0,MUNDUBBERA TW TM              ,03-10-2019 13:00:00,      .258,L,Below Minor,Steady        ,       16.3,Dimitrios Bridge (Mundubbera-Durong Rd) ,B,  151.2964,  -25.5947                                                                                                                                                                                                                   
     39321,         0,EIDSVOLD TM                   ,03-10-2019 13:00:00,      .899,L,Below Minor,Steady        ,           ,					                                   , ,  151.1033,  -25.4022                                                                                                                                                                                                                   
     39323,         0,GAYNDAH FLUME TM              ,03-10-2019 13:00:00,     -.215,L,Below Minor,Steady        ,           ,					                                   , ,  151.6031,  -25.6217                                                                                                                                                                                                                   
     39324,         0,MARRIAGES TM                  ,03-10-2019 14:00:00,     1.143,L,Below Minor,Steady        ,           ,					                                   , ,  151.1839,    -25.56                                                                                                                                                                                                                   
     39347,         0,LAUREL BANK TM                ,03-10-2019 12:00:00,        .5,L,Below Minor,Falling       ,           ,					                                   , ,   150.435,  -23.2967                                                                                                                                                                                                                   
     39352,         0,BUNDABERG ALERT               ,03-10-2019 14:28:41,       .97,L,Below Minor,Falling       ,       11.4,Burnett River Bridge                    ,B,  152.3503,  -24.8639                                                                                                                                                                                                                   
     40416,         0,CLEARVIEW TM                  ,03-10-2019 13:00:00,      .175,L,Below Minor,Steady        ,           ,					                                   , ,  153.3083,  -28.0017                                                                                                                                                                                                                   
     40679,         0,BAUPLE EAST TM                ,03-10-2019 13:00:00,      .453,L,Below Minor,Steady        ,          3,Missing's Bridge			                     ,B,  152.7211,  -25.8222                                                                                                                                                                                                                   
     40714,         0,ROUND MOUNTAIN TM             ,03-10-2019 13:00:00,     2.009,L,Below Minor,Steady        ,         13,Williams Br (Mt Lindesay Hwy, Laravale) ,B,  152.9272,  -28.0708                                                                                                                                                                                                                   
     40719,         0,NEW BEITH TM                  ,03-10-2019 13:00:00,      .105,L,Below Minor,Steady        ,           ,					                                   , ,  152.9483,    -27.73                                                                                                                                                                                                                   
